Sugu	Aasta	Kokku	0	1-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 ja vanemad	Vanus teadmata
Mehed ja naised	1975	1424073	21278	87474	98487	103501	104452	110685	105741	96247	111049	103199	101808	78985	55485	70577	61939	50586	32865	18332	10621	762
Mehed ja naised	1976	1434630	21263	87373	101442	101302	105265	112309	111772	91177	111604	101106	105041	83918	55420	67826	63034	50459	34099	18674	10903	643
Mehed ja naised	1977	1444522	21560	86942	104563	99321	106286	112824	114409	87882	113221	100976	106150	87737	59737	63056	63260	51324	34876	18794	11056	548
Mehed ja naised	1978	1455900	21913	86794	108116	97165	106834	113620	116507	90310	108626	102410	105908	91818	66375	57116	63905	51459	36265	18886	11443	430
Mehed ja naised	1979	1464476	21348	87676	108911	97790	106079	115187	116386	96906	101114	105643	102794	95410	70493	55235	63752	51549	36968	19457	11444	334
Mehed ja naised	1980	1472190	21731	87513	109859	98735	105065	114229	116614	104167	94566	108906	100182	98038	75569	52114	63574	51888	37803	19960	11367	310
Mehed ja naised	1981	1482247	22088	88055	109961	101924	102773	113763	118938	110375	89741	109205	98164	101055	80170	51904	60951	52758	37708	20932	11501	281
Mehed ja naised	1982	1493085	22717	88622	110136	105086	101420	113566	119496	113427	86679	110936	98107	102011	83691	55875	56509	53059	38455	21388	11671	234
Mehed ja naised	1983	1503743	22904	89512	110208	108849	99647	113628	119790	115550	88991	106357	99249	101789	87478	61769	51032	53700	38746	22577	11751	216
Mehed ja naised	1984	1513747	23819	90808	110485	110122	99901	112455	120720	115813	95428	99068	102482	98817	90797	65452	49310	53638	38933	23267	12252	180
Mehed ja naised	1985	1523486	23939	92635	110984	111089	101055	111154	120463	116363	102931	92432	105660	96185	93095	70224	46434	53316	39143	23786	12449	149
Mehed ja naised	1986	1534076	23516	94437	112032	111266	104001	108428	120777	118577	109103	88032	105936	94338	95742	74377	46166	50977	39692	23705	12874	100
Mehed ja naised	1987	1546304	23831	95654	113073	111352	107353	105989	121384	119537	112090	84821	107952	94161	96663	77767	49754	47264	39996	24313	13279	71
Mehed ja naised	1988	1558137	24849	96599	114051	111113	111010	103767	121463	120244	114000	87465	103658	95425	96631	81558	54792	42662	40593	24315	13901	41
Mehed ja naised	1989	1565662	24601	97121	115747	111269	111696	104027	119514	121092	114371	93743	96833	98567	93682	84504	58355	41155	40627	24449	14309	0
Mehed ja naised	1990	1570599	24006	97235	117512	111381	109719	105679	117298	120817	114879	101229	90162	101609	91201	86267	62671	38851	40487	24770	14826	0
Mehed ja naised	1991	1567749	22041	96701	118037	111503	108511	107063	112872	120007	116264	106675	85478	101666	89144	88238	66178	38397	38562	25291	15121	0
Mehed ja naised	1992	1554878	18956	94063	117768	111135	107641	106471	107553	118861	115869	108681	81810	103039	88343	88314	68758	41333	35416	25452	15415	0
Mehed ja naised	1993	1511303	17571	85961	115072	108093	104774	102906	100241	113471	111906	107117	82618	97279	88485	87169	70986	44986	31539	25693	15436	0
Mehed ja naised	1994	1476952	14794	78704	112881	107224	102019	101515	95906	108263	109327	104622	86880	89673	90279	83802	72541	47519	30244	25412	15347	0
Mehed ja naised	1995	1448075	13760	70180	111077	107473	99958	99551	93270	103760	106694	102411	91842	82575	91864	80777	73213	50539	28339	25154	15638	0
Mehed ja naised	1996	1425192	13192	62833	108578	107371	99129	97600	93026	98911	104622	101993	95114	77480	90915	78593	74486	53360	27981	23930	16078	0
Mehed ja naised	1997	1405996	12981	57778	103783	106744	98966	95731	94143	94274	103275	100627	95947	73686	91484	77729	74647	55283	30279	22102	16537	0
Mehed ja naised	1998	1393074	12326	53516	98039	107582	99564	94786	95350	90805	102090	99789	96172	74763	87541	78197	74549	57502	33443	20011	17049	0
Mehed ja naised	1999	1379237	11911	51121	89963	107574	101406	94477	95133	89383	99848	99792	95423	78955	81243	79962	72077	59051	35636	19310	16972	0
Mehed ja naised	2000	1401250	12270	50640	82530	104900	102000	98280	99710	93210	101270	102600	97270	86820	77530	84010	71100	61340	39050	18840	17880	0
Mehed ja naised	2001	1392720	13090	49620	75690	103870	102040	98050	98780	94230	98040	102140	98270	91040	73220	83960	69770	62790	41580	18810	17730	0
Mehed ja naised	2002	1383510	12740	49560	71040	100580	101830	97910	97650	95970	94560	102190	97870	92770	70190	84990	69310	63360	43380	20570	17040	0
Mehed ja naised	2003	1375190	13160	49860	66360	95940	102580	97620	97020	97560	91630	101580	97650	93240	71580	81540	70380	63380	45140	22830	16140	0
Mehed ja naised	2004	1366250	13130	50970	63600	88780	102720	98550	96310	97600	90710	99700	98120	92820	75960	76020	72330	61650	46620	24690	15970	0
Mehed ja naised	2005	1358850	13990	51710	62090	81160	102680	99070	95560	97040	90380	97560	98060	92150	81290	70970	74660	60000	47960	26760	15760	0
Mehed ja naised	2006	1350700	14320	52540	61780	74430	101660	98770	94850	95810	91210	94340	97540	93060	85310	67210	74860	59260	49350	28730	15670	0
Mehed ja naised	2007	1342920	14860	54070	61210	69710	98420	98510	94240	94330	92660	90840	97550	92730	87020	64660	75970	59330	50080	30220	16510	0
Mehed ja naised	2008	1338440	15690	55910	61820	65000	93980	99560	93850	93600	94200	88060	96840	92610	87560	66100	73110	60590	50520	31720	17720	0
Mehed ja naised	2009	1335740	15960	58610	62850	62260	87180	100160	94770	92960	94460	87390	95340	93220	87340	70430	68470	62650	49400	33140	19150	0
Mehed ja naised	2010	1333290	15780	60660	64380	60810	79750	100710	95620	92290	94040	87360	93670	93300	86930	75540	64220	65020	48440	34350	20420	0
Mehed ja naised	2011	1329660	15930	62130	65530	60500	73180	100000	95590	91620	93040	88530	90780	93190	88100	79520	60970	65420	48170	35550	21910	0
Mehed ja naised	2012	1325217	14728	63238	67729	59913	68634	96669	95603	91046	91838	90223	87785	93560	88169	81463	58942	66860	48649	36540	23628	0
